Concepto,Fecha, ENTRADA,SALIDAS,Categoría,Proveedor,Factura,SALDO
Pago AWS Rozzys Abril,5/2/2021,,"$ 70,669",Servicios Informáticos,Amazon Web Services,737849457," $  317,773 "
Café Sello Rojo,5/5/2021,,"$ 12,100",Servicios Informáticos,LaRebajaVirtual,3I99933," $  305,673 "
Impuesto 4x1000,5/5/2021,,$ 48,Impuestos Bancarios,Colpatria,," $  305,624 "
Prestamo Ing Neptali,5/4/2021,,"$ 10,000",Prestamos,Neptali Gelvez,," $  295,624 "
Cens Local Medicontrol,5/5/2021,,"$ 211,940",Servicios Publicos,CENS,562565," $  83,684 "
Impuesto 4x1000,5/5/2021,,$ 848,Impuestos Bancarios,Colpatria,," $  82,836 "
Envio Supersolidaria,5/7/2021,,"$ 10,700",Obligaciones,Servientrega,9132569170," $  72,136 "
Pago Prestamo Natali,5/13/2021," $  20,000 ",,Prestamos,Natali Velàsquez,," $  92,136 "
Regalo Dra. Lyda,5/13/2021,,"$ 45,000",Detalles,Arte y Estilo,," $  47,136 "
Impuesto 4x1000,5/13/2021,,$ 180,Impuestos Bancarios,Colpatria,," $  46,956 "
Prestamo Neptali,5/14/2021,,"$ 40,000",Prestamos,Neptali Gelvez,," $  6,956 "
Ingreso para regalo Lyda,5/15/2021," $  100,000 ",,Ingresos,Helery Trujillo,," $  106,956 "
Regalo Lady Contreras cumple,5/16/2021,,"$ 44,000",Detalles,Arte y Estilo,," $  62,956 "
Impuesto 4x1000,5/16/2021,,$ 160,Impuestos Bancarios,Colpatria,," $  62,796 "
Reingreso ,5/20/2021," $  657,040 ",,Ingresos,Helery Trujillo,," $  719,836 "
Pago Hosting Medicontrol,5/20/2021,,"$ 260,000",Servicios Informáticos,Colombia Hosting,," $  459,836 "
Impuesto 4x1000,5/20/2021,,"$ 1,040",Impuestos Bancarios,Colpatria,," $  458,796 "
RUP Socicontrol,5/20/2021,,"$ 53,000",Obligaciones Comerciales,Camara de Comerio,," $  405,796 "
Camara de Comercio Socicontrol,5/20/2021,,"$ 5,900",Obligaciones Comerciales,Camara de Comerio,," $  399,896 "
Impuesto 4x1000,5/20/2021,,$ 235,Impuestos Bancarios,Colpatria,," $  399,661 "
Movistar Mayo 2021,5/27/2021,,"$ 99,989",Servicios Privados,Movistar,," $  299,672 "
Impuesto 4x1000,5/27/2021,,$ 399,Impuestos Bancarios,Colpatria,," $  299,273 "
Boleta Fiscal Socicontrol Reforma,5/27/2021,,"$ 152,500",Impuesto de Registro,Gobernacion Norte de Santander,," $  146,773 "
Impuesto 4x1000,5/27/2021,,$ 610,Impuestos Bancarios,Colpatria,," $  146,163 "
Actualizacion direccion Socicontrol,5/27/2021,,"$ 11,400",Obligaciones Comerciales,Camara de Comerio,," $  134,763 "
Radicacion cambios Socicontrol,5/27/2021,,"$ 41,850",Obligaciones Comerciales,Camara de Comerio,," $  92,913 "
Regalo Madres doña Lady,5/30/2021,,"$ 80,000",Detalles,La Queseria,," $  12,913 "
Impuesto 4x1000,5/30/2021,,$ 320,Impuestos Bancarios,Colpatria,," $  12,593 "
Reimpresion Matricula Socicontrol,5/31/2021,,"$ 5,900",Obligaciones Comerciales,Camara de Comerio,," $  6,693 "
