user_id,age_group,location,device_type,suscription_type,days_since_registration,total_purchases,avg_order_value,last_purchase_days,session_last_30_days,time_on_site_minutes,pages_per_session,cart_abandonment_rate,purchase_frequency,dar_promocion
user_000001,18-25,Mendoza,Móvil,Free,38,6,341.58,139.0,2,71.3,1.6,0.094,,1
user_000002,36-45,Buenos Aires,Móvil,Basic,246,34,215.56,114.0,18,34.1,17.5,0.759,4.15,0
user_000003,36-45,Buenos Aires,Móvil,Enterprise,284,21,60.08,97.0,3,43.7,7.5,0.265,2.22,1
user_000004,36-45,Córdoba,Tablet,Free,343,35,153.66,160.0,19,106.4,7.9,0.192,3.06,0
user_000005,18-25,Buenos Aires,Móvil,Free,330,14,434.58,97.0,8,55.0,16.8,0.163,1.27,1
user_000006,26-35,Buenos Aires,Tablet,Basic,184,38,321.14,136.0,23,30.1,9.8,0.27,6.2,0
user_000007,36-45,Buenos Aires,Móvil,Premium,38,3,122.23,8.0,25,38.5,6.1,0.211,2.37,1
user_000008,46-55,Buenos Aires,Desktop,Free,75,41,234.84,67.0,4,30.3,11.7,0.263,16.4,1
user_000009,26-35,Rosario,Móvil,Enterprise,66,8,259.67,23.0,24,6.6,3.1,0.627,3.64,1
user_000010,26-35,Buenos Aires,Móvil,Enterprise,17,33,133.19,141.0,27,113.1,13.9,0.115,33.0,0
user_000011,,Mendoza,Móvil,Free,91,10,232.32,67.0,16,91.7,10.6,0.106,3.3,0
user_000012,26-35,Rosario,Desktop,Free,45,48,89.16,135.0,29,1.1,7.2,,32.0,1
user_000013,46-55,La Plata,Móvil,Free,180,36,474.01,21.0,23,58.8,2.3,0.761,,0
user_000014,18-25,Córdoba,Móvil,Free,301,38,217.34,54.0,29,65.2,14.9,0.201,,1
user_000015,26-35,Rosario,Móvil,Premium,206,28,69.29,57.0,2,41.2,12.2,0.23,4.08,1
user_000016,18-25,,Móvil,Free,253,2,431.22,18.0,16,29.3,13.7,0.214,0.24,0
user_000017,36-45,,Móvil,Free,298,30,405.67,48.0,3,12.5,9.2,0.424,3.02,0
user_000018,46-55,Buenos Aires,Desktop,Basic,126,3,207.28,86.0,25,103.5,5.7,,0.71,0
user_000019,18-25,Buenos Aires,Móvil,Premium,136,4,227.13,,3,7.0,20.0,0.836,0.88,0
user_000020,56+,La Plata,Móvil,Basic,318,13,433.68,15.0,5,46.1,19.7,0.265,1.23,1
user_000021,26-35,Rosario,Desktop,Premium,133,42,362.02,39.0,6,36.3,19.4,,9.47,0
user_000022,18-25,,Móvil,Basic,88,33,87.14,130.0,2,102.3,2.3,0.068,11.25,1
user_000023,26-35,Otros,Móvil,Basic,245,2,313.5,107.0,21,70.5,10.9,,0.24,1
user_000024,36-45,,Móvil,Free,261,41,157.0,80.0,29,90.5,2.4,0.458,,1
user_000025,56+,Buenos Aires,Móvil,Free,77,22,441.62,62.0,11,34.9,9.3,0.543,,0
user_000026,36-45,Otros,Desktop,Free,211,35,156.7,169.0,3,112.7,3.6,0.115,,1
user_000027,36-45,Buenos Aires,Móvil,Free,311,21,109.76,162.0,27,32.4,10.3,0.905,2.03,0
user_000028,18-25,Córdoba,Móvil,Free,339,49,74.1,67.0,5,89.2,11.5,0.428,4.34,1
user_000029,18-25,Otros,Desktop,Free,361,2,418.95,149.0,17,18.6,3.4,0.308,0.17,1
user_000030,,Buenos Aires,Móvil,Free,345,49,284.34,104.0,19,90.2,18.6,0.237,4.26,1
user_000031,56+,,Desktop,Free,282,47,463.0,105.0,25,80.7,15.0,,5.0,0
user_000032,46-55,Buenos Aires,Desktop,Premium,284,14,107.79,117.0,11,37.3,16.1,,,1
user_000033,36-45,Córdoba,Móvil,Free,353,49,146.77,164.0,16,48.6,19.6,,4.16,0
user_000034,18-25,Otros,Móvil,Enterprise,351,16,28.75,152.0,13,42.1,15.9,0.436,,0
user_000035,18-25,La Plata,Móvil,Free,104,27,10.83,137.0,21,86.6,15.1,0.671,7.79,1
user_000036,26-35,Otros,Tablet,Basic,179,42,425.53,76.0,16,37.8,8.8,0.402,7.04,0
user_000037,36-45,Buenos Aires,Desktop,Free,214,47,452.37,157.0,18,,11.4,0.0,6.59,1
user_000038,26-35,Mendoza,Desktop,Free,219,28,226.66,54.0,16,57.3,18.1,,,1
user_000039,36-45,Buenos Aires,Desktop,Basic,279,5,411.03,60.0,21,37.9,16.3,0.147,0.54,1
user_000040,26-35,Córdoba,Desktop,Free,342,26,444.21,147.0,6,86.5,8.3,0.4,2.28,1
user_000041,36-45,Buenos Aires,Desktop,Premium,290,6,391.43,56.0,5,96.7,14.2,0.465,0.62,0
user_000042,26-35,La Plata,Móvil,Premium,80,42,270.25,143.0,19,38.8,15.3,0.443,15.75,0
user_000043,,Otros,Móvil,Free,107,30,230.53,63.0,26,,15.6,0.521,,0
user_000044,26-35,Córdoba,Desktop,Free,45,21,166.66,138.0,2,17.5,5.4,0.694,14.0,1
user_000045,26-35,Córdoba,Móvil,Basic,4,3,111.35,107.0,12,108.7,12.1,0.696,3.0,0
user_000046,26-35,Buenos Aires,Móvil,Premium,71,26,273.73,139.0,25,72.8,5.2,0.219,10.99,1
user_000047,26-35,Córdoba,Desktop,Premium,142,46,90.87,119.0,29,16.2,12.8,0.027,,0
user_000048,36-45,,Móvil,Basic,164,29,99.05,66.0,12,40.0,9.6,0.338,5.3,0
user_000049,26-35,Otros,Móvil,Premium,171,30,19.5,138.0,1,120.0,7.6,0.65,5.26,0
user_000050,18-25,Buenos Aires,Móvil,Premium,32,39,84.67,32.0,15,80.7,11.7,0.218,36.56,0
user_000051,26-35,Córdoba,Desktop,Enterprise,7,45,66.12,41.0,30,38.0,12.0,0.929,45.0,1
user_000052,36-45,Otros,Móvil,Premium,71,4,300.13,160.0,7,13.1,15.7,,1.69,0
user_000053,46-55,Mendoza,Móvil,Free,58,34,219.91,94.0,2,61.2,7.5,0.85,,1
user_000054,18-25,Otros,Desktop,Premium,115,45,84.97,45.0,23,63.1,13.4,0.616,11.74,1
user_000055,46-55,Córdoba,Desktop,Basic,90,20,427.34,22.0,8,105.9,5.6,0.465,6.67,0
user_000056,36-45,Buenos Aires,Móvil,Free,53,31,113.94,66.0,10,34.3,12.3,0.88,17.55,0
user_000057,18-25,Otros,Móvil,Premium,81,31,282.04,61.0,22,57.7,14.5,0.448,11.48,0
user_000058,18-25,Buenos Aires,Desktop,Free,357,37,190.82,141.0,16,41.9,19.9,0.55,3.11,0
user_000059,,Buenos Aires,Móvil,Free,185,12,164.62,137.0,30,91.7,4.5,0.216,1.95,0
user_000060,26-35,Rosario,Desktop,Basic,118,6,417.99,75.0,7,43.9,6.7,0.708,1.53,1
user_000061,26-35,Otros,Móvil,Basic,301,8,322.56,125.0,3,104.9,11.9,0.469,,1
user_000062,26-35,Otros,Móvil,Premium,140,7,412.84,102.0,15,9.8,13.0,0.054,1.5,0
user_000063,46-55,Otros,Móvil,Free,289,35,384.58,,19,95.1,5.3,0.523,3.63,0
user_000064,56+,Buenos Aires,Móvil,Basic,135,36,314.3,156.0,30,,19.0,0.208,8.0,0
user_000065,26-35,Buenos Aires,Móvil,Basic,257,10,11.31,115.0,22,71.7,6.5,0.231,1.17,0
user_000066,26-35,La Plata,Móvil,Free,4,16,396.04,160.0,18,79.7,18.7,0.425,16.0,1
user_000067,26-35,Buenos Aires,Móvil,Free,87,3,91.3,78.0,19,90.1,11.8,0.289,1.03,0
user_000068,26-35,Buenos Aires,Móvil,Free,302,34,251.96,20.0,19,5.7,9.2,,3.38,0
user_000069,18-25,Buenos Aires,Desktop,Premium,237,37,475.89,172.0,26,33.1,1.8,0.756,,0
user_000070,36-45,Córdoba,Móvil,Enterprise,125,27,321.04,125.0,2,56.9,8.8,,6.48,1
user_000071,46-55,Buenos Aires,Desktop,Free,312,25,408.65,140.0,1,55.1,7.0,0.323,2.4,0
user_000072,46-55,La Plata,Móvil,Premium,159,29,212.49,48.0,16,,15.4,0.625,5.47,0
user_000073,,Córdoba,Tablet,Basic,339,44,247.51,7.0,20,73.5,5.5,0.158,3.89,0
user_000074,18-25,Córdoba,Móvil,Premium,83,7,236.11,30.0,20,,10.5,,2.53,1
user_000075,36-45,Córdoba,Móvil,Basic,105,29,280.12,98.0,6,110.7,10.7,0.879,8.29,0
user_000076,26-35,Mendoza,Móvil,Premium,330,32,140.91,0.0,9,87.4,16.9,0.58,,0
